 tach0, tach1, tach2, tach3, tach4, tach5, tach6, tach7, tach8, tach9, tach10, tach11, tach12, tach13, tach14, tach15, tach16, tach17, tach18, tach19, tach20, tach21, tach22, tach23, tach24, tach25, tach26, tach27, tach28, tach29, tach30, tach31, tach32, tach33, tach34, tach35, tach36, tach37, tach38, tach39, tach40, tach41, tach42, tach43, tach44, tach45, tach46, tach47, tach48, tach49, tach50, tach51, tach52, tach53, tach54, tach55, tach56, tach57, tach58, tach59, tach60, tach61, tach62, tach63, tach64, tach65, tach66, tach67, tach68, tach69, tach70, tach71, tach72, tach73, tach74, tach75, tach76, tach77, tach78, tach79, tach80, tach81, tach82, tach83, tach84, tach85
255,255,255,255,255,254,249,243,243,254,254,254,243,237,243,243,237,232,215,203,192,147,73,56,79,84,62,56,67,56,22,0,0,28,33,28,56,73,84,90,84,101,113,118,118,107,96,90,96,107,118,124,124,124,96,101,113,118,118,130,118,107,101,107,124,141,152,141,124,118,118,113,113,124,130,124,118,124,118,107,107,118,130,130,141,158
254,254,255,254,244,244,233,233,254,244,228,228,233,244,244,249,233,228,207,180,153,100,90,100,90,58,53,63,58,31,10,0,26,37,26,47,58,69,63,58,74,106,116,111,100,74,69,79,84,90,100,100,79,90,84,95,106,111,116,116,100,79,84,106,122,116,100,95,95,84,84,79,84,100,106,100,100,106,106,95,100,106,111,132,143,143
249,243,249,231,231,243,231,237,254,254,243,237,237,231,231,225,219,219,213,189,171,130,106,88,77,41,29,47,65,35,5,0,17,29,29,41,71,77,71,71,83,112,124,124,118,94,77,77,94,106,124,124,94,106,100,106,124,118,124,124,83,77,88,118,124,118,88,83,83,77,83,77,88,112,100,88,83,83,77,71,77,83,88,112,112,118
255,255,254,249,244,244,238,244,249,244,244,249,244,254,249,244,233,217,207,169,111,53,53,90,79,69,74,58,31,0,5,26,31,21,26,37,42,47,58,74,84,100,106,106,95,84,84,100,100,116,127,127,116,100,90,84,84,95,90,74,42,42,47,84,116,116,106,84,74,74,69,69,90,106,116,122,127,122,116,127,127,122,132,143,138,122
254,242,242,242,242,242,230,242,254,248,254,254,230,218,224,230,218,212,200,157,115,48,30,54,72,60,54,66,48,12,0,0,24,30,24,30,42,54,60,54,54,72,109,115,109,103,97,97,115,127,151,145,127,127,121,103,115,121,127,139,115,103,91,115,121,121,115,84,72,72,72,78,97,115,127,121,115,121,115,109,109,115,121,127,139,133
237,220,254,249,237,226,220,226,232,254,237,226,237,237,249,226,209,203,186,158,124,84,79,84,62,39,45,62,62,39,5,0,16,28,28,22,39,67,79,67,62,84,113,118,130,113,79,67,84,101,124,130,118,124,118,118,124,135,130,113,90,73,73,84,113,124,107,96,84,62,67,79,90,113,101,90,101,101,96,84,96,101,90,107,118,113
249,243,238,238,238,233,227,233,233,227,238,238,238,238,249,254,249,243,222,184,135,70,37,43,65,65,65,65,59,37,16,0,10,32,43,37,43,48,48,70,92,102,113,130,135,130,113,108,102,113,130,146,146,140,135,119,113,108,119,119,130,108,97,86,108,130,119,135,119,92,92,102,102,102,119,119,113,102,102,102,97,108,113,119,113,108
249,255,254,254,254,254,249,249,249,249,249,243,243,243,243,243,243,225,195,142,71,35,47,71,59,59,71,65,35,0,0,11,41,41,29,41,53,71,71,83,94,112,118,124,112,100,94,112,124,130,130,130,124,112,100,106,112,100,124,100,59,47,94,124,112,100,94,83,94,100,88,94,100,100,106,100,100,94,94,100,106,106,106,106,118,112
255,255,249,228,244,249,249,249,254,254,249,254,249,233,223,207,207,217,217,201,175,138,122,106,95,58,37,58,74,58,26,0,10,37,47,42,53,79,90,58,53,74,106,116,111,106,79,79,74,100,122,111,90,100,90,106,116,111,100,84,53,47,74,111,127,116,95,74,69,69,74,90,106,106,95,84,95,95,84,84,100,106,106,116,116,111
242,235,248,254,242,235,235,254,254,248,248,242,242,248,242,235,223,192,167,149,124,86,31,12,31,62,68,68,62,37,12,0,6,18,18,6,24,43,49,68,68,80,105,117,124,117,105,86,99,124,136,142,136,117,124,124,149,149,161,173,130,93,74,99,99,99,93,68,62,68,80,86,105,117,117,105,99,99,93,86,93,99,105,117,124,117
245,250,250,235,225,235,235,245,255,245,250,255,245,235,225,225,215,215,210,190,150,85,40,55,90,70,60,70,55,25,0,0,25,50,50,50,65,70,80,75,70,85,100,110,115,95,90,95,95,115,125,115,95,110,105,105,125,115,115,95,65,55,80,105,120,115,95,80,80,85,80,90,105,115,115,115,115,115,105,100,105,115,115,120,130,125
249,243,232,220,232,237,237,243,243,237,237,237,237,243,254,249,249,243,215,181,124,73,73,96,90,62,73,79,50,11,0,5,33,50,33,39,50,50,62,67,84,118,130,124,113,96,96,107,118,113,124,113,113,107,96,113,118,113,113,96,56,50,79,101,118,130,118,101,96,101,96,101,113,118,113,107,107,101,96,96,96,101,101,107,118,101
